St. Lucia,12952.7251685677
Latin America & Caribbean,15210.9507926645
Least developed countries: UN classification,2622.0690762317
Low income,1701.37258736139
Liechtenstein,
Sri Lanka,12312.940050985
Lower middle income,6801.29184829445
Low & middle income,10414.4938324184
Lesotho,2951.02189397517
Late-demographic dividend,16689.097568844
Lithuania,29862.3188904098
Luxembourg,102389.437727633
Latvia,25587.3880884729
"Macao SAR, China",105420.414237179
St. Martin (French part),
Morocco,7857.4877165031
Monaco,
Moldova,5332.28777311133
Madagascar,1506.23832521343
Maldives,15347.9977617196
Middle East & North Africa,19515.4026052702
Mexico,17274.8230713694
Marshall Islands,4022.97863241912
Middle income,11442.8331081026
"Macedonia, FYR",14942.1976434693
Mali,2125.7160265303
Malta,37928.3412686642
Myanmar,5721.22800362596
Middle East & North Africa (excluding high income),13113.9710833787
Montenegro,17633.1329846821
Mongolia,12252.2771963876
Northern Mariana Islands,
Mozambique,1216.79278743692
Mauritania,3852.5259043653
Mauritius,21102.558923198
Malawi,1168.82562558063
Malaysia,27682.6079402983
North America,56344.9637562895
Namibia,10624.927113115
New Caledonia,
Niger,986.206960615401
Nigeria,5861.08965603032
Nicaragua,5539.82671594908
Netherlands,50538.6065695989
Norway,58790.0614038949
Nepal,2477.90334509701
Nauru,13966.4977802226
New Zealand,38565.4034526073
OECD members,41885.9261133479
Oman,
Other small states,25029.7638206374
Pakistan,5235.47808501644
Panama,23008.6653671451
Peru,13018.6086123782
Philippines,7804.16780147305
Palau,16305.4853404537
Papua New Guinea,4182.53934130662
Poland,27383.2549370049
Pre-demographic dividend,3775.07502386765
Puerto Rico,37740.8882560612
"Korea, Dem. People’s Rep.",
Portugal,30658.6319953306
Paraguay,9567.33912817663
West Bank and Gaza,
Pacific island small states,5700.0889390208
Post-demographic dividend,44804.4601727051
French Polynesia,
Qatar,127480.482510991
Romania,23027.2892643944
Russian Federation,24788.6792791217
Rwanda,1912.9011820632
South Asia,6062.85581457409
Saudi Arabia,54416.6124931905
Sudan,4730.46186883399
Senegal,2566.11917856156
Singapore,87832.5865142232
Solomon Islands,2235.31469050173
Sierra Leone,1476.21371968625
El Salvador,8616.81241755459
San Marino,60932.9300372192
Somalia,
Serbia,14514.9605530466
Sub-Saharan Africa (excluding high income),3721.66067335735
South Sudan,
Sub-Saharan Africa,3723.92091102138
Small states,22092.4412573638
Sao Tome and Principe,3237.39254359531
Suriname,14966.7137949048
Slovak Republic,30460.3840810744
Slovenia,32723.0719537641
Sweden,48904.5543707155
Swaziland,8329.56058149203
Sint Maarten (Dutch part),
Seychelles,28383.8962133253
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,1990.72665730873
East Asia & Pacific (IDA & IBRD countries),13986.6283938048
Europe & Central Asia (IDA & IBRD countries),20172.0612278983
Togo,1490.53623573436
Thailand,16913.366075262
Tajikistan,2979.31023901638
Turkmenistan,16875.9877489048
Latin America & the Caribbean (IDA & IBRD countries),15126.461336628
Timor-Leste,2140.35737389394
Middle East & North Africa (IDA & IBRD countries),13214.1225451502
Tonga,5745.19122926423
South Asia (IDA & IBRD),6062.85581457409
Sub-Saharan Africa (IDA & IBRD countries),3723.92091102138
Trinidad and Tobago,32854.7190584554
Tunisia,11595.5123792095
Turkey,25247.2017504961
Tuvalu,3651.0214840375
Tanzania,2786.27224269776
Uganda,1819.43435088204
Ukraine,8269.61463354542
Upper middle income,16884.3534656691
Uruguay,21619.6079337521
United States,57638.1590879883
Uzbekistan,6512.68213066736
St. Vincent and the Grenadines,11456.7899522437
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,6295.59058534397
Vanuatu,3080.56575433637
World,16216.9269855744
Samoa,6378.2565669184
Kosovo,10063.75847519
"Yemen, Rep.",2507.47166249081
South Africa,13196.8112269648
Zambia,3933.0664604428
Zimbabwe,2027.08491653006
